xHipMinus,149,122,16,15,19,20,17,18,29,50,66,74,91,106,133,129,110,89,101,110,95,50,22,31,44,70,60,38,37,38,36,30,24,21,20,18,17,16,14,11,8,6,12,22,38,38,16,13,83,0
xKneeMinus,85,115,62,40,40,32,27,27,30,31,21,14,29,51,97,123,100,79,90,110,102,56,19,24,38,63,70,46,36,33,29,28,34,40,41,37,33,30,25,16,5,0,9,28,46,52,33,16,50,0
xAnkleMinus,61,91,100,92,70,42,27,34,38,26,12,4,9,17,28,39,28,15,23,24,4,0,8,21,26,48,56,49,33,20,12,16,27,36,48,46,33,33,36,36,36,26,27,36,43,42,44,34,45,0
yHipAdd,155,137,12,39,100,116,85,37,62,109,170,162,118,95,101,143,145,102,71,56,65,55,45,31,36,46,38,32,32,33,38,44,43,44,37,13,0,0,3,28,44,21,0,7,26,22,20,38,122,0
yKneeAdd,162,113,18,33,77,110,34,0,0,14,62,36,0,0,65,142,158,100,98,104,103,76,54,49,84,109,64,18,8,4,23,45,50,62,86,71,11,0,31,106,126,110,102,117,119,124,145,160,90,24
yAnkleAdd,177,95,11,31,67,12,13,35,78,108,48,0,0,16,42,87,39,0,0,45,48,34,55,98,146,139,78,74,121,162,155,136,128,136,156,160,130,95,104,121,139,124,93,73,65,83,122,115,55,19
yHipMinus,151,156,50,19,13,13,17,21,28,32,41,23,18,27,34,38,45,40,27,37,45,74,29,0,0,0,33,83,111,90,102,120,139,117,96,76,62,47,54,43,32,30,22,23,26,30,35,38,107,0
yKneeMinus,223,129,0,3,46,63,76,82,105,128,100,17,27,90,146,120,68,37,61,73,118,161,86,0,0,33,57,68,92,95,50,14,17,27,34,42,65,67,10,9,19,27,31,32,36,27,12,12,63,0
yAnkleMinus,255,166,0,0,3,22,30,35,55,70,34,0,0,16,57,49,18,0,7,19,19,33,58,67,63,57,41,55,84,135,158,129,95,63,45,86,139,74,0,8,28,76,87,49,11,17,35,41,49,0
