xHipMinus,50,147,0,0,65,155,235,121,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,32,32,40,135,92,146,122,99,128,155,160,125,77,57,40,15,20,36,75,92,109,116
xKneeMinus,62,142,0,0,78,161,229,121,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,174,242,211,242,212,221,198,123,85,7,0,0,0,0,0,0,0,0,0,110,159,216,146
xAnkleMinus,94,200,164,169,191,223,234,142,121,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,67,190,169,151,229,240,238,227,162,99,22,0,0,0,0,0,0,0,0,13,83,206,228,161
yHipAdd,49,134,0,0,38,169,150,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38
yKneeAdd,146,240,170,150,107,76,56,65,98,135,151,154,159,161,152,158,175,167,181,192,206,214,221,230,242,234,232,219,180,139,85,29,19,3,0,0,0,67,123,179,196,218,212,151,65,19,0,0,0,0
yAnkleAdd,140,231,136,64,25,0,0,0,0,46,150,184,230,217,203,208,229,209,217,216,216,214,207,205,209,175,184,187,171,170,125,49,30,7,0,0,0,97,147,193,200,204,187,135,56,12,0,0,0,0
yHipMinus,71,205,149,67,116,96,35,166,103,121,82,0,5,52,128,179,134,87,39,0,0,0,0,0,0,0,0,28,106,140,204,146,96,145,0,56,71,116,87,62,33,17,38,0,202,50,85,1,0,0
yKneeMinus,63,188,0,0,58,157,136,93,12,0,0,0,0,0,0,0,0,0,49,95,131,164,160,179,225,251,255,244,230,221,217,219,197,202,156,96,29,3,0,0,0,0,0,34,99,162,151,138,177,45
yAnkleMinus,55,154,0,0,81,133,198,117,80,5,0,0,0,0,0,0,0,4,19,0,20,0,1,122,121,96,82,18,0,0,57,82,135,126,131,191,180,162,169,180,196,105,117,77,0,6,110,171,221,164
