94_segment_0,0.6855
95_segment_0,0.0069
96_segment_2,0.2066
96_segment_1,0.4671
96_segment_0,0.9987
97_segment_0,0.0272
97_segment_1,0.0068
98_segment_1,0.1127
98_segment_0,0.7343
98_segment_2,0.9549
99_segment_1,0.2532
99_segment_0,0.024
100_segment_0,0.0046
