97.9399999999998,102.13000000000018,105.01999999999998,110.46000000000004,113.45999999999988,121.12999999999904
3413.5599,3398.2838,3389.2949,3355.9098,3349.076,3341.0171
3163.3423,3163.7021,3163.7892,3159.5474,3158.885,3163.7156
3266.2885,3266.7601,3267.9973,3264.248,3273.4226,3268.0745
42.736,43.7635,38.0364,34.6134,35.3644,35.448
36.124,37.7732,37.6329,34.5684,30.0854,30.9429
24.7845,27.5048,25.3599,25.9197,14.864,24.6792
792.3865,808.8029,820.8532,831.2938,857.4651,888.2707
662.0368,665.1741,665.6411,662.6352,666.0376,666.5027
372.9272,371.9088,372.1271,378.4153,378.4447,383.4788
7.5948,7.3198,6.7231,5.309,5.2759,3.9719
12.2073,11.8168,10.2153,5.3644,6.5643,4.4062
13.1826,12.2277,10.9122,4.5438,14.2813,5.7314
