153.6428686498873,153.24389748283556,150.48558508547416,145.1325039440026,138.2348797953965,131.16005820433472,125.0037080091538,120.31216236371054,117.04729810203364,114.72535414977304,112.66108972943942,110.24868302597916,107.21077114012434,103.74703195584334,100.51370870910526,98.36547796472232,97.79106173104388,97.97398443934767,95.40987551485588
3224.8856,3232.4451,3231.9138,3238.3948,3255.5746,3281.049,3310.0909,3338.0874,3361.8725,3380.1829,3393.4654,3403.2601,3411.3901,3419.1824,3426.9479,3433.9479,3439.0745,3442.4711,3448.3212
3200.6906,3202.7457,3198.008,3191.9659,3187.6435,3186.2073,3187.5342,3190.73,3194.5823,3197.9333,3199.9609,3200.3511,3199.349,3197.6748,3196.2896,3195.9971,3196.868,3197.4716,3193.9021
3276.4342,3284.2454,3295.7157,3308.0652,3318.9253,3326.7223,3330.8165,3331.445,3329.5212,3326.3408,3323.2443,3321.2885,3320.9757,3322.0928,3323.7106,3324.3937,3322.6719,3317.8241,3311.0252
78.7191,74.0401,70.4106,66.0354,60.6909,54.8368,49.0386,43.6487,38.6948,33.9254,28.9588,23.4863,17.4774,11.3348,5.9497,2.6038,2.6682,7.0475,15.3171
50.2336,45.1556,41.0728,37.1978,33.0866,28.6138,23.9033,19.232,14.9212,11.2312,8.2757,5.9711,4.0359,2.057,0.3619,3.3552,6.4355,8.0062,4.7279
7.1469,0.5586,3.682,5.0866,6.1841,7.487,9.0041,10.5044,11.6788,12.2257,11.8867,10.4622,7.8306,4.0016,0.7714,5.7925,9.6094,9.5587,1.1437
917.9288,911.6305,916.092,917.2162,911.3218,899.9529,886.3635,873.4066,862.5522,853.7654,845.9696,837.8239,828.5418,818.4791,809.2189,802.8804,800.3801,798.3735,784.603
628.0992,630.6952,641.5919,649.8007,652.1796,649.7382,645.0578,640.6583,638.1411,637.9406,639.5146,641.8046,643.7973,645.0178,645.7862,647.0684,649.7511,653.1738,652.7476
425.4033,397.9656,393.2621,393.4074,391.1829,385.4796,378.0202,371.1787,366.7144,365.2391,366.2354,368.4436,370.4357,371.1948,370.5163,369.0512,367.8072,366.9275,363.5638
7.2467,5.9597,5.7368,5.5047,4.808,3.5781,1.9552,0.1591,1.5974,3.1601,4.4543,5.4816,6.2999,6.9899,7.6178,8.1968,8.6561,8.8215,8.4154
3.0404,9.8087,14.902,16.4024,14.5484,10.5647,5.8684,1.5926,1.6323,3.696,4.8869,5.6868,6.544,7.6808,8.997,10.1255,10.7009,10.8994,12.3075
36.7487,30.9806,25.313,19.8757,14.9174,10.6915,7.3856,5.0854,3.7678,3.3147,3.5422,4.2362,5.19,6.2337,7.2518,8.1795,8.9722,9.5398,9.6409
