914.01,902.27,953.1,62.75,155.95,274.46,928.71,646.95,382.51,4.49,16.55,12.75
893.94,883.12,945.9,65.66,157.74,270.92,925.44,646.59,386.57,4.74,17.59,16.27
855.06,843.84,931.52,69.04,155.14,255.46,920.05,646.58,395.93,5.27,19.84,22.69
818.54,805.56,913.48,70.12,144.58,233.38,918.02,646.0,404.99,5.9,20.86,28.35
785.39,771.14,888.93,71.43,128.84,209.69,920.54,644.33,412.92,6.58,19.33,33.54
757.59,743.04,859.02,74.15,111.86,186.28,926.55,642.57,419.2,7.13,14.83,38.64
737.2,722.19,828.12,76.44,96.53,161.06,932.64,642.2,421.54,7.34,8.22,42.76
723.49,706.62,798.26,75.75,84.1,130.48,934.98,643.33,415.66,7.28,1.89,41.22
709.9,691.15,762.57,74.4,75.53,94.63,932.56,643.32,399.44,7.58,0.52,25.4
688.31,671.74,712.32,80.19,72.12,59.88,929.5,637.71,381.05,8.78,3.03,4.71
676.4,661.98,688.19,80.88,66.14,27.25,930.33,625.81,385.74,8.27,3.11,5.8
