1552.74,783.88,0.98,1565.57,796.01,0.99,1552.11,795.59,0.24,1610.97,790.93,0.99,1573.56,790.05,0.17,1638.21,706.79,0.97,1587.95,702.2,0.9,1668.75,581.0,0.96,1571.22,575.08,0.69,1666.51,468.91,0.94,1527.67,482.54,0.65,1612.72,480.45,0.99,1581.19,481.04,0.97,1584.2,328.81,0.98,1589.04,323.57,0.96,1689.72,202.19,0.91,1623.05,175.98,0.87
1534.16,784.64,0.99,1547.34,796.57,0.99,1533.06,796.97,0.36,1594.84,791.13,0.99,1555.51,791.07,0.2,1618.76,708.37,0.97,1572.64,703.12,0.94,1647.67,581.14,0.95,1561.98,572.16,0.84,1646.06,471.76,0.93,1511.08,496.67,0.81,1592.39,479.74,0.98,1569.01,481.8,0.98,1548.21,336.37,0.97,1586.73,336.01,0.95,1627.14,190.45,0.86,1633.94,199.08,0.84
1515.26,780.99,0.98,1527.43,793.52,0.99,1514.26,793.14,0.25,1576.08,790.75,0.99,1537.33,788.26,0.21,1600.61,707.91,0.97,1553.77,701.34,0.94,1633.42,583.26,0.96,1536.36,578.71,0.85,1628.1,474.16,0.94,1493.0,500.99,0.82,1574.81,481.9,0.99,1557.59,483.63,0.98,1512.97,342.7,0.98,1587.53,333.63,0.97,1578.02,190.64,0.9,1621.66,186.48,0.89
1498.03,773.79,0.99,1510.2,787.86,1.0,1493.49,787.43,0.67,1551.33,787.29,0.99,1524.56,788.19,0.07,1578.28,702.94,0.99,1537.76,700.02,0.98,1612.56,578.94,0.98,1514.4,580.13,0.9,1605.41,472.55,0.97,1475.59,505.29,0.89,1557.77,476.68,0.99,1540.31,478.88,0.99,1487.9,348.92,0.99,1583.45,334.35,0.99,1508.75,187.59,0.95,1621.37,183.96,0.93
1479.28,775.48,0.98,1491.61,788.01,0.99,1477.74,788.18,0.25,1539.55,785.0,0.99,1501.5,784.37,0.24,1567.5,702.57,0.97,1517.16,697.26,0.96,1593.41,579.53,0.96,1497.92,578.75,0.91,1581.41,466.18,0.95,1454.81,505.11,0.89,1534.89,475.78,0.99,1518.69,478.41,0.99,1465.31,348.0,0.98,1573.39,336.45,0.98,1468.37,189.51,0.91,1617.84,186.28,0.9
1460.49,770.97,0.97,1472.8,783.56,0.98,1459.4,783.77,0.13,1521.13,781.69,0.99,1487.78,782.63,0.24,1547.45,697.46,0.98,1503.52,696.29,0.96,1572.45,571.34,0.96,1480.76,574.69,0.92,1563.11,458.76,0.95,1434.41,505.32,0.9,1515.02,477.74,0.99,1500.51,481.19,0.99,1444.21,350.32,0.98,1553.34,345.73,0.98,1411.05,187.63,0.92,1609.83,193.17,0.91
1439.16,770.49,0.98,1451.64,783.51,0.98,1438.92,783.87,0.11,1499.85,778.84,0.99,1466.95,779.67,0.27,1528.6,693.84,0.97,1483.29,692.68,0.97,1552.06,568.57,0.96,1460.76,572.26,0.93,1539.96,461.36,0.95,1411.03,500.05,0.91,1495.3,470.51,0.99,1480.16,474.52,0.99,1424.79,340.11,0.98,1548.31,336.17,0.98,1368.03,189.97,0.92,1615.3,190.56,0.91
1423.01,762.82,0.96,1434.46,775.34,0.96,1421.88,776.11,0.07,1480.5,773.86,0.98,1449.81,774.98,0.25,1510.12,690.05,0.97,1465.52,691.08,0.97,1530.04,563.13,0.96,1443.51,569.06,0.93,1516.11,458.52,0.95,1395.93,496.71,0.91,1476.64,468.52,0.99,1462.89,474.5,0.99,1405.91,328.75,0.98,1536.72,338.43,0.98,1329.32,191.32,0.91,1611.66,196.5,0.91
1398.34,765.22,0.97,1410.62,777.52,0.98,1399.48,777.86,0.06,1458.67,770.97,0.99,1435.65,773.08,0.24,1488.77,684.29,0.98,1448.52,686.4,0.97,1505.82,558.12,0.96,1424.73,562.49,0.9,1492.46,458.94,0.95,1374.97,492.87,0.88,1455.35,463.9,0.99,1453.2,469.27,0.99,1385.14,324.33,0.98,1524.5,334.18,0.98,1307.88,184.66,0.91,1605.37,191.69,0.9
1374.87,763.67,0.97,1386.45,776.25,0.98,1376.77,776.0,0.05,1435.33,770.33,0.99,1414.7,769.54,0.23,1465.66,679.27,0.98,1425.34,681.58,0.97,1479.29,552.29,0.97,1402.75,559.44,0.9,1468.06,451.37,0.95,1356.8,489.71,0.88,1427.11,454.59,0.99,1424.28,458.87,0.98,1358.9,321.55,0.98,1499.24,323.01,0.97,1308.8,180.11,0.89,1591.47,190.23,0.87
1354.48,761.03,0.96,1366.54,773.32,0.97,1355.63,773.75,0.08,1415.24,770.02,0.99,1388.14,770.38,0.2,1443.53,679.33,0.98,1400.28,681.58,0.96,1457.74,553.95,0.97,1386.04,552.57,0.9,1440.96,453.82,0.95,1336.94,484.55,0.88,1405.2,460.04,0.99,1390.69,463.2,0.98,1359.55,325.75,0.98,1442.14,330.53,0.97,1353.57,183.63,0.88,1545.82,200.93,0.86
1334.45,761.45,0.96,1346.45,773.41,0.97,1334.89,774.01,0.07,1392.93,768.41,0.99,1369.14,771.3,0.21,1414.75,679.03,0.98,1380.0,682.48,0.95,1431.49,555.72,0.97,1360.3,555.91,0.85,1419.88,450.65,0.95,1319.43,476.57,0.83,1377.78,459.21,0.99,1372.8,463.98,0.98,1327.58,323.38,0.99,1445.32,328.96,0.98,1287.95,176.73,0.93,1556.48,213.34,0.91
