33_segment_11,0.3723
33_segment_18,0.5126
33_segment_13,0.8068
33_segment_0,0.6478
33_segment_3,0.774
33_segment_6,0.5061
33_segment_15,0.121
33_segment_7,0.0969
33_segment_17,0.2031
33_segment_14,0.2697
33_segment_2,0.0431
34_segment_0,0.1569
34_segment_3,0.245
34_segment_2,0.0289
34_segment_1,0.3179
35_segment_5,0.2858
35_segment_6,0.2789
35_segment_7,0.0176
35_segment_0,0.4095
35_segment_2,0.1952
35_segment_4,0.6275
35_segment_3,0.4228
35_segment_1,0.5185
36_segment_0,0.0404
36_segment_1,0.5674
37_segment_2,0.5681
37_segment_1,0.3661
37_segment_4,0.3915
37_segment_0,0.3675
37_segment_3,0.3656
38_segment_3,0.6432
38_segment_0,0.7066
38_segment_1,0.028
38_segment_2,0.033
39_segment_0,0.0332
39_segment_1,0.008
40_segment_2,0.1748
40_segment_0,0.1876
40_segment_1,0.2966
42_segment_0,0.0314
42_segment_1,0.3579
42_segment_3,0.4306
42_segment_2,0.0029
43_segment_0,0.0929
43_segment_1,0.286
43_segment_4,0.0163
43_segment_3,0.3339
43_segment_2,0.1107
43_segment_5,0.3113
44_segment_5,0.3925
44_segment_2,0.4125
44_segment_0,0.1943
44_segment_1,0.1733
44_segment_3,0.189
44_segment_4,0.7025
45_segment_10,0.3028
45_segment_1,0.5837
45_segment_6,0.0549
45_segment_8,0.129
45_segment_3,0.8772
45_segment_2,0.4453
45_segment_12,0.553
45_segment_13,0.1111
45_segment_11,0.6518
45_segment_4,0.0456
45_segment_7,0.3767
45_segment_0,0.3951
45_segment_5,0.0989
45_segment_9,0.2765
46_segment_1,0.314
46_segment_4,0.311
46_segment_0,0.4638
46_segment_3,0.4083
46_segment_2,0.3595
47_segment_0,0.16
48_segment_3,0.1157
48_segment_6,0.1991
48_segment_5,0.498
48_segment_0,0.4928
48_segment_4,0.2159
48_segment_2,0.1924
48_segment_1,0.2288
49_segment_0,0.2781
49_segment_1,0.1945
49_segment_3,0.4126
49_segment_4,0.1903
49_segment_2,0.2308
50_segment_0,0.6502
50_segment_3,0.4843
50_segment_2,0.7142
50_segment_1,0.4261
51_segment_15,0.42
51_segment_18,0.1731
51_segment_17,0.0182
51_segment_14,0.3009
51_segment_8,0.6287
51_segment_11,0.4005
51_segment_13,0.6723
51_segment_5,0.5635
51_segment_6,0.3847
51_segment_4,0.8948
51_segment_16,0.8553
51_segment_9,0.0102
51_segment_3,0.8443
51_segment_12,0.0244
51_segment_2,0.5836
51_segment_10,0.008
51_segment_7,0.1061
51_segment_1,0.0063
51_segment_0,0.5127
52_segment_2,0.3102
52_segment_1,0.1463
52_segment_0,0.0332
52_segment_3,0.262
53_segment_3,0.0577
53_segment_1,0.0201
53_segment_0,0.0099
53_segment_2,0.0981
54_segment_2,0.6834
54_segment_1,0.5423
54_segment_0,0.4107
54_segment_5,0.0198
54_segment_3,0.1582
54_segment_4,0.0145
55_segment_0,0.0205
55_segment_2,0.0729
55_segment_3,0.167
55_segment_1,0.1733
55_segment_4,0.1133
56_segment_4,0.1107
56_segment_3,0.0677
56_segment_1,0.0331
56_segment_0,0.0248
56_segment_2,0.1612
57_segment_0,0.0017
57_segment_1,0.4382
57_segment_2,0.136
57_segment_3,0.0511
58_segment_4,0.0973
58_segment_3,0.1928
58_segment_6,0.0396
58_segment_1,0.185
58_segment_5,0.6911
58_segment_7,0.1135
58_segment_8,0.5766
58_segment_2,0.0588
58_segment_9,0.1887
58_segment_11,0.044
58_segment_10,0.0345
58_segment_0,0.0663
59_segment_2,0.448
59_segment_1,0.4135
59_segment_0,0.5336
62_segment_5,0.1886
62_segment_9,0.6224
62_segment_11,0.1187
62_segment_4,0.0076
62_segment_0,0.4698
62_segment_2,0.4849
62_segment_8,0.0573
62_segment_6,0.011
62_segment_1,0.344
62_segment_10,0.3215
62_segment_3,0.3389
62_segment_7,0.0918
63_segment_7,0.0621
63_segment_1,0.2168
63_segment_17,0.556
63_segment_15,0.2796
63_segment_10,0.873
63_segment_16,0.5386
63_segment_5,0.0476
63_segment_20,0.0158
63_segment_24,0.0624
63_segment_11,0.0599
63_segment_6,0.0088
63_segment_18,0.7515
63_segment_2,0.9429
63_segment_3,0.1452
63_segment_21,0.0044
63_segment_0,0.3025
63_segment_13,0.2744
63_segment_8,0.1036
63_segment_14,0.2817
63_segment_4,0.0041
63_segment_9,0.4779
63_segment_12,0.8186
63_segment_23,0.0002
63_segment_22,0.004
63_segment_19,0.0093
64_segment_1,0.0545
64_segment_2,0.6034
64_segment_0,0.1725
64_segment_8,0.1193
64_segment_3,0.0078
64_segment_7,0.1653
64_segment_4,0.0044
64_segment_6,0.0538
64_segment_5,0.0429
65_segment_8,0.2442
65_segment_1,0.1844
65_segment_2,0.07
65_segment_3,0.3045
